162.158.18.49 - - [13/May/2025:15:48:44 +0000] "GET /elfinder/php/connector.minimal.php HTTP/1.1" 404 184 "-" "ALittle Client" "195.20.18.145"rt=0.116 uct="0.006" uht="0.117" urt="0.117"
172.71.254.158 - - [13/May/2025:15:55:27 +0000] "GET /robots.txt HTTP/1.1" 404 184 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "66.249.75.165"rt=0.006 uct="0.001" uht="0.006" urt="0.007"
172.70.80.128 - - [13/May/2025:18:17:11 +0000] "GET /robots.txt HTTP/1.1" 404 184 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "51.222.253.9"rt=0.048 uct="0.000" uht="0.048" urt="0.048"
162.158.172.251 - - [13/May/2025:21:38:58 +0000] "GET /elfinder/php/connector.minimal.php HTTP/1.1" 404 184 "-" "ALittle Client" "194.145.227.125"rt=0.055 uct="0.000" uht="0.055" urt="0.055"
172.68.174.106 - - [13/May/2025:22:27:23 +0000] "GET /robots.txt HTTP/1.1" 404 184 "-" "Mozilla/5.0 (compatible; wpbot/1.3; +https://forms.gle/ajBaxygz9jSR8p8G9)" "35.80.17.24"rt=0.005 uct="0.001" uht="0.005" urt="0.005"
104.23.160.5 - - [14/May/2025:00:51:08 +0000] "GET /robots.txt HTTP/1.1" 404 184 "-" "Mozilla/5.0 (compatible; wpbot/1.3; +https://forms.gle/ajBaxygz9jSR8p8G9)" "44.242.139.139"rt=0.002 uct="0.000" uht="0.002" urt="0.002"
162.158.182.132 - - [14/May/2025:02:08:22 +0000] "GET /robots.txt HTTP/1.1" 404 184 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115" "93.158.90.67"rt=0.002 uct="0.000" uht="0.001" urt="0.002"
172.71.134.152 - - [14/May/2025:02:38:15 +0000] "GET /static/js/anim-back-menu.js HTTP/1.1" 404 184 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/121.0.0.0" "170.39.218.59"rt=0.021 uct="0.000" uht="0.020" urt="0.020"
172.71.1.186 - - [14/May/2025:03:13:25 +0000] "GET /robots.txt HTTP/1.1" 404 184 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "66.249.77.36"rt=0.033 uct="0.000" uht="0.034" urt="0.034"
172.68.138.172 - - [14/May/2025:03:44:15 +0000] "GET /robots.txt HTTP/1.1" 404 184 "-" "Mozilla/5.0 (compatible; Pinterestbot/1.0; +http://www.pinterest.com/bot.html)" "54.236.1.13"rt=0.002 uct="0.000" uht="0.001" urt="0.001"
172.71.254.159 - - [14/May/2025:06:13:24 +0000] "GET /robots.txt HTTP/1.1" 404 184 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "66.249.75.165"rt=0.025 uct="0.000" uht="0.024" urt="0.024"
172.71.150.112 - - [14/May/2025:07:42:06 +0000] "GET /robots.txt HTTP/1.1" 404 184 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" "216.244.66.242"rt=0.003 uct="0.001" uht="0.002" urt="0.002"
172.69.223.117 - - [14/May/2025:07:47:01 +0000] "GET /.git/HEAD HTTP/1.1" 404 184 "-" "-" "154.83.103.115"rt=0.100 uct="0.000" uht="0.099" urt="0.099"
172.71.122.70 - - [14/May/2025:07:47:01 +0000] "GET /.env HTTP/1.1" 404 184 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "154.83.103.115"rt=0.003 uct="0.000" uht="0.003" urt="0.003"
172.71.122.70 - - [14/May/2025:07:47:01 +0000] "GET /config/.env HTTP/1.1" 404 184 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "154.83.103.115"rt=0.002 uct="0.000" uht="0.002" urt="0.002"
